Asiakas Pvm	Myyjä		Toimipiste	Myynti
Kukkasaari Ky 45335	Helminen		Kuopio	5759,553624
Lahti Oy 45335	Karjalainen		Tampere	6689,250768
Kihveli Oy 45336	Salmi		Turku	6453,44
Kukkasaari Ky 45336	Helminen		Oulu	4408
Sandström AB 45336	Helminen		Tampere	3135
Kihveli Oy 45336	Isotalo		Kuopio	9073
Uusitalo Oy 45336	Helminen		Helsinki	1789,397002
Kihveli Oy 45337	Salmi		Oulu	6587,83198
Lahti Oy 45337	Isotalo		Helsinki	7803,601857
Kukkasaari Ky 45337	Helminen		Helsinki	5588,570992
Lahti Oy 45338	Salmi		Oulu	1324,0416
Lahti Oy 45338	Salmi		Oulu	3398
Sandström AB 45338	Uusitalo		Turku	4314,843762
Kukkasaari Ky 45338	Salmi		Oulu	1640,295996
Sandström AB 45339	Salmi		Helsinki	8704
Masamyynti Oy 45339	Karjalainen		Oulu	2686,476151
Kukkasaari Ky 45340	Helminen		Tampere	3044
Masamyynti Oy 45340	Helminen		Kuopio	3400,524476
Diamond Oy 45340	Helminen		Tampere	6086,292461
Lahti Oy 45340	Salmi		Kuopio	1643,011625
Masamyynti Oy 45340	Salmi		Turku	4314,174635
Diamond Oy 45340	Karjalainen		Kuopio	4595,204232
Sokerisuuda Ky 45340	Uusitalo		Turku	4673,134036
Uusitalo Oy 45341	Karjalainen		Helsinki	8944,116532
Masamyynti Oy 45341	Isotalo		Kuopio	7038,96139
Lahti Oy 45342	Isotalo		Oulu	5871
Sokerisuuda Ky 45343	Karjalainen		Oulu	85,78040722
Masamyynti Oy 45344	Karjalainen		Kuopio	4464
Lahti Oy 45344	Uusitalo		Kuopio	2040,610437
Masamyynti Oy 45344	Uusitalo		Tampere	7848,786253
Kukkasaari Ky 45345	Helminen		Oulu	1397
Masamyynti Oy 45345	Karjalainen		Helsinki	905,0855853
Masamyynti Oy 45345	Karjalainen		Helsinki	3250,919301
Kihveli Oy 45346	Isotalo		Oulu	9922
Diamond Oy 45346	Isotalo		Turku	5401,903769
Uusitalo Oy 45346	Isotalo		Helsinki	4242,933049
Lahti Oy 45346	Isotalo		Oulu	8039,383335
Sandström AB 45347	Karjalainen		Helsinki	4954
Kihveli Oy 45347	Uusitalo		Helsinki	4728,613554
Sandström AB 45348	Karjalainen		Tampere	5681
Kukkasaari Ky 45348	Salmi		Kuopio	2075
Sokerisuuda Ky 45348	Helminen		Kuopio	6606,659172
Uusitalo Oy 45348	Karjalainen		Helsinki	9150,008409
Sokerisuuda Ky 45348	Salmi		Oulu	9989,064252
Kihveli Oy 45349	Salmi		Turku	3134,41348
Kihveli Oy 45349	Uusitalo		Turku	6748,702769
Sokerisuuda Ky 45349	Helminen		Oulu	9696,061311
Sokerisuuda Ky 45349	Uusitalo		Helsinki	9314,778117
Masamyynti Oy 45350	Salmi		Helsinki	5805,500815
				
Uusitalo Oy 45351	Uusitalo		Helsinki	4543,985702
Sokerisuuda Ky 45352	Salmi		Oulu	7276
Sandström AB 45352	Salmi		Oulu	7220,418026
Masamyynti Oy 45354	Karjalainen		Kuopio	2451
Uusitalo Oy 45354	Salmi		Turku	1951,19957
Kihveli Oy 45354	Helminen		Tampere	2113,979768
Lahti Oy 45354	Karjalainen		Kuopio	4088,124822
Lahti Oy 45355	Uusitalo		Oulu	1693,10819
Lahti Oy 45356	Isotalo		Helsinki	5994
Lahti Oy 45356	Uusitalo		Turku	5102,673244
Sandström AB 45356	Helminen		Tampere	4412,37495
Diamond Oy 45356	Isotalo		Turku	6454,98297
Masamyynti Oy 45357	Karjalainen		Helsinki	9604
Uusitalo Oy 45357	Isotalo		Oulu	1088,916415
Kihveli Oy 45357	Helminen		Kuopio	8872,9103
Kihveli Oy 45357	Salmi		Helsinki	9701,239155
Sokerisuuda Ky 45358	Karjalainen		Helsinki	1522
Lahti Oy 45358	Salmi		Helsinki	8463,23926
Diamond Oy 45358	Uusitalo		Helsinki	8121,787009
Kukkasaari Ky 45358	Isotalo		Kuopio	9754,552397
Masamyynti Oy 45359	Isotalo		Oulu	360
Kihveli Oy 45359	Helminen		Helsinki	6259
Sokerisuuda Ky 45359	Isotalo		Kuopio	4778
Masamyynti Oy 45359	Karjalainen		Kuopio	1876,285959
Lahti Oy 45360	Karjalainen		Helsinki	3422
Diamond Oy 45360	Salmi		Oulu	3614
Diamond Oy 45360	Karjalainen		Tampere	6292,014348
Uusitalo Oy 45360	Karjalainen		Oulu	5865,649904
Lahti Oy 45361	Isotalo		Helsinki	5285
Kihveli Oy 45361	Salmi		Oulu	8612
Sokerisuuda Ky 45361	Isotalo		Tampere	9097,194788
Diamond Oy 45361	Salmi		Helsinki	3435,914651
Kihveli Oy 45363	Helminen		Helsinki	6518
Sandström AB 45364	Salmi		Helsinki	4810
Diamond Oy 45364	Karjalainen		Oulu	4045
Masamyynti Oy 45364	Salmi		Tampere	9195
Lahti Oy 45364	Salmi		Oulu	3761,107543
Diamond Oy 45365	Salmi		Turku	7982,070523
Sokerisuuda Ky 45366	Helminen		Kuopio	1344
Lahti Oy 45366	Helminen		Tampere	9847
Lahti Oy 45366	Helminen		Helsinki	4415
Kihveli Oy 45366	Karjalainen		Helsinki	8180,660795
Masamyynti Oy 45366	Karjalainen		Turku	2737,871092
Sokerisuuda Ky 45367	Isotalo		Turku	1426,834916
Sokerisuuda Ky 45367	Uusitalo		Turku	2064,282865
Kukkasaari Ky 45367	Karjalainen		Turku	4381,337957
Sandström AB 45368	Isotalo		Kuopio	3958,860891
Uusitalo Oy 45368	Uusitalo		Kuopio	8756,527639
Diamond Oy 45368	Karjalainen		Oulu	3732,897913
Sandström AB 45370	Isotalo		Kuopio	1834
Masamyynti Oy 45370	Karjalainen		Oulu	5723,920657
Kukkasaari Ky 45370	Helminen		Kuopio	3357,549117
Sandström AB 45370	Salmi		Oulu	7630,93008
Sokerisuuda Ky 45371	Isotalo		Oulu	11270,0672
Sandström AB 45371	Karjalainen		Oulu	3365
Masamyynti Oy 45371	Salmi		Oulu	9897,654245
Diamond Oy 45371	Uusitalo		Helsinki	8018,66155
Kukkasaari Ky 45372	Uusitalo		Helsinki	1746,08
Diamond Oy 45372	Salmi		Kuopio	6484,172476
Uusitalo Oy 45372	Salmi		Helsinki	3225,962733
Kukkasaari Ky 45372	Karjalainen		Turku	9832,565884
Masamyynti Oy 45373	Isotalo		Oulu	6587,84
Sokerisuuda Ky 45373	Salmi		Helsinki	6351,938406
Sokerisuuda Ky 45374	Isotalo		Tampere	1161
Uusitalo Oy 45374	Karjalainen		Turku	6817,239541
Sokerisuuda Ky 45374	Salmi		Kuopio	1347,872736
Diamond Oy 45374	Uusitalo		Turku	872,4907676
Kihveli Oy 45375	Salmi		Oulu	3558,60347
Kukkasaari Ky 45375	Salmi		Turku	9159,853314
Kukkasaari Ky 45375	Karjalainen		Oulu	7193,362631
Uusitalo Oy 45375	Helminen		Helsinki	3736,5896
Kihveli Oy 45375	Uusitalo		Turku	1748,543736
Kukkasaari Ky 45376	Karjalainen		Helsinki	4223
Sandström AB 45377	Karjalainen		Tampere	3933,777714
Kihveli Oy 45378	Isotalo		Tampere	3967
Masamyynti Oy 45378	Helminen		Tampere	9216
Lahti Oy 45378	Isotalo		Helsinki	8204
Uusitalo Oy 45378	Salmi		Tampere	5687,631081
Sandström AB 45378	Uusitalo		Tampere	4902,591049
Lahti Oy 45379	Salmi		Oulu	3198
Sandström AB 45379	Isotalo		Helsinki	9665
Kukkasaari Ky 45379	Isotalo		Helsinki	2824,618921
Diamond Oy 45379	Helminen		Kuopio	7944,682537
Kihveli Oy 45380	Isotalo		Helsinki	4383,11153
Lahti Oy 45381	Helminen		Tampere	7082
Diamond Oy 45382	Uusitalo		Helsinki	4663,563651
Kukkasaari Ky 45382	Salmi		Kuopio	8912,765251
Lahti Oy 45382	Karjalainen		Helsinki	5283,12376
Kukkasaari Ky 45382	Uusitalo		Turku	3636,510036
Lahti Oy 45383	Helminen		Tampere	8519,507544
Uusitalo Oy 45383	Uusitalo		Helsinki	5534,523752
Uusitalo Oy 45384	Isotalo		Tampere	4061,589593
Uusitalo Oy 45385	Isotalo		Oulu	498,736
Kukkasaari Ky 45385	Helminen		Tampere	125
Lahti Oy 45385	Helminen		Tampere	3098
Kihveli Oy 45385	Salmi		Tampere	2576
Sandström AB 45385	Isotalo		Tampere	2396,59231
Kihveli Oy 45385	Isotalo		Oulu	1605,114066
Sandström AB 45385	Salmi		Tampere	1995,360068
Lahti Oy 45386	Uusitalo		Oulu	2634,282566
Lahti Oy 45387	Karjalainen		Tampere	5458
Masamyynti Oy 45388	Helminen		Tampere	997
Kihveli Oy 45388	Salmi		Kuopio	7152,959624
Lahti Oy 45388	Helminen		Tampere	6286,15127
Kukkasaari Ky 45389	Uusitalo		Kuopio	8741,692632
Kukkasaari Ky 45389	Salmi		Helsinki	8123,718086
Sandström AB 45390	Uusitalo		Turku	6336,833268
Kukkasaari Ky 45390	Karjalainen		Kuopio	924,0999471
Masamyynti Oy 45390	Isotalo		Turku	8890,191537
Diamond Oy 45390	Isotalo		Oulu	9595,581955
Diamond Oy 45391	Uusitalo		Turku	5933,193335
Diamond Oy 45391	Helminen		Tampere	2831,972246
Diamond Oy 45392	Isotalo		Oulu	3093,825823
Kukkasaari Ky 45393	Karjalainen		Tampere	6403
Sandström AB 45393	Isotalo		Helsinki	2552
Diamond Oy 45393	Isotalo		Helsinki	8527
Kukkasaari Ky 45393	Isotalo		Tampere	9653,154633
Sandström AB 45394	Isotalo		Oulu	2832
Diamond Oy 45394	Karjalainen		Tampere	4278
Sandström AB 45394	Helminen		Kuopio	4924
Kihveli Oy 45394	Uusitalo		Tampere	6103,633667
Masamyynti Oy 45394	Helminen		Kuopio	9118,157553
Kihveli Oy 45394	Helminen		Oulu	3386,548376
Sandström AB 45394	Isotalo		Helsinki	7460,163438
Masamyynti Oy 45395	Salmi		Helsinki	9990
Kukkasaari Ky 45395	Helminen		Oulu	1210,391783
Kukkasaari Ky 45395	Karjalainen		Tampere	5443,451343
Kukkasaari Ky 45395	Uusitalo		Kuopio	6485,064815
Uusitalo Oy 45396	Helminen		Tampere	1894,45088
Diamond Oy 45396	Karjalainen		Kuopio	9292,300013
Diamond Oy 45397	Salmi		Kuopio	6792
Uusitalo Oy 45397	Helminen		Tampere	9641,663425
Sokerisuuda Ky 45398	Helminen		Oulu	6077
Uusitalo Oy 45398	Isotalo		Kuopio	3729,661097
Uusitalo Oy 45398	Karjalainen		Turku	5193,204721
Sandström AB 45398	Salmi		Kuopio	2576,970041
Kihveli Oy 45399	Salmi		Kuopio	2996,854514
Sandström AB 45401	Helminen		Helsinki	8619
Sandström AB 45401	Isotalo		Helsinki	5724,800584
Sokerisuuda Ky 45401	Salmi		Turku	1983,332745
Lahti Oy 45401	Karjalainen		Helsinki	8168,73059
				
Masamyynti Oy 45402	Salmi		Kuopio	9274
Kihveli Oy 45402	Karjalainen		Oulu	2577
Masamyynti Oy 45402	Isotalo		Helsinki	6136
Lahti Oy 45402	Karjalainen		Kuopio	5735
Lahti Oy 45402	Helminen		Turku	477,656422
				
Sokerisuuda Ky 45402	Helminen		Tampere	1671,079899
Kukkasaari Ky 45403	Isotalo		Kuopio	3271
Kukkasaari Ky 45403	Karjalainen		Kuopio	6631
Masamyynti Oy 45403	Isotalo		Kuopio	6890
Sandström AB 45403	Isotalo		Kuopio	6393,821221
Lahti Oy 45403	Isotalo		Helsinki	7687,343607
Masamyynti Oy 45404	Karjalainen		Oulu	6263
Diamond Oy 45404	Isotalo		Kuopio	3132,146033
Lahti Oy 45404	Helminen		Helsinki	1004,312921
Lahti Oy 45405	Salmi		Oulu	1404
Sokerisuuda Ky 45405	Isotalo		Helsinki	8445
				
Sandström AB 45405	Salmi		Oulu	9183
Uusitalo Oy 45406	Isotalo		Oulu	5603,457674
Diamond Oy 45406	Helminen		Oulu	4801,628579
Sokerisuuda Ky 45406	Salmi		Helsinki	6319,324495
Diamond Oy 45407	Uusitalo		Kuopio	10760,96
Sandström AB 45407	Salmi		Tampere	3876
Kihveli Oy 45407	Karjalainen		Tampere	8580,93419
Masamyynti Oy 45407	Salmi		Oulu	3929,438179
Diamond Oy 45408	Helminen		Kuopio	4335
Diamond Oy 45408	Isotalo		Tampere	3106
Masamyynti Oy 45409	Helminen		Tampere	827
Diamond Oy 45409	Isotalo		Kuopio	75,08937512
Kihveli Oy 45410	Helminen		Turku	5836,090763
Sokerisuuda Ky 45410	Uusitalo		Tampere	7682,192843
Kukkasaari Ky 45410	Isotalo		Tampere	9030,492078
Lahti Oy 45410	Uusitalo		Helsinki	8641,990474
Kukkasaari Ky 45410	Isotalo		Kuopio	6864,569257
Masamyynti Oy 45411	Helminen		Tampere	1292
Sandström AB 45411	Helminen		Helsinki	9239
Lahti Oy 45411	Salmi		Oulu	4675
Diamond Oy 45411	Helminen		Helsinki	5574
Lahti Oy 45411	Karjalainen		Tampere	2483,269401
Diamond Oy 45411	Uusitalo		Oulu	1713,176779
Lahti Oy 45412	Helminen		Oulu	3292
Sokerisuuda Ky 45412	Isotalo		Helsinki	319
Diamond Oy 45412	Uusitalo		Helsinki	5450,226508
Sandström AB 45412	Helminen		Oulu	7042,863223
Diamond Oy 45412	Salmi		Helsinki	1968,96819
Kihveli Oy 45414	Isotalo		Turku	6020,525205
Diamond Oy 45414	Salmi		Tampere	7689,57552
Uusitalo Oy 45415	Salmi		Tampere	6274,003815
Diamond Oy 45415	Salmi		Kuopio	5791,151473
Kukkasaari Ky 45416	Salmi		Oulu	7657
Lahti Oy 45416	Uusitalo		Turku	1030,634103
Uusitalo Oy 45416	Uusitalo		Tampere	2146,601334
Uusitalo Oy 45417	Karjalainen		Turku	6857,76559
Uusitalo Oy 45417	Helminen		Tampere	1355,839301
Diamond Oy 45418	Karjalainen		Kuopio	3284
Kihveli Oy 45418	Uusitalo		Oulu	483,0591934
				
Sandström AB 45418	Salmi		Helsinki	2263,097073
Kihveli Oy 45418	Salmi		Turku	9873,3601
Diamond Oy 45418	Helminen		Turku	6911,032367
Kihveli Oy 45419	Helminen		Oulu	5319,3952
Kihveli Oy 45419	Helminen		Helsinki	804
Lahti Oy 45419	Salmi		Kuopio	2982
				
Sandström AB 45419	Karjalainen		Kuopio	9845
Sokerisuuda Ky 45419	Karjalainen		Turku	6471,521217
Kihveli Oy 45419	Karjalainen		Oulu	4600,201098
Kihveli Oy 45419	Salmi		Kuopio	5190,097402
Kihveli Oy 45420	Karjalainen		Helsinki	4820
Kukkasaari Ky 45421	Uusitalo		Tampere	8284,626663
Kihveli Oy 45421	Uusitalo		Turku	9634,796907
Sokerisuuda Ky 45422	Karjalainen		Kuopio	3248
Diamond Oy 45422	Salmi		Turku	456,7139995
				
Kukkasaari Ky 45423	Helminen		Oulu	2484
Diamond Oy 45423	Helminen		Kuopio	4601,166528
Kukkasaari Ky 45423	Isotalo		Turku	7867,99601
Sokerisuuda Ky 45423	Helminen		Turku	8775,530739
Uusitalo Oy 45423	Uusitalo		Helsinki	9432,275266
				
Diamond Oy 45423	Helminen		Kuopio	7241,468969
Masamyynti Oy 45423	Isotalo		Helsinki	1726,798171
Kihveli Oy 45424	Isotalo		Kuopio	9092,246903
Masamyynti Oy 45424	Isotalo		Tampere	2176,934294
Diamond Oy 45425	Karjalainen		Kuopio	1898
Lahti Oy 45425	Karjalainen		Helsinki	9769
Kukkasaari Ky 45426	Salmi		Oulu	8724
Uusitalo Oy 45426	Karjalainen		Helsinki	6950,644739
Sandström AB 45426	Karjalainen		Helsinki	8268,063072
Sandström AB 45426	Helminen		Oulu	6468,55789
Diamond Oy 45427	Helminen		Tampere	1714
Diamond Oy 45428	Uusitalo		Turku	1500,988945
Masamyynti Oy 45428	Helminen		Helsinki	9137,889269
Diamond Oy 45428	Isotalo		Kuopio	9422,394339
Uusitalo Oy 45428	Salmi		Turku	9725,331203
Masamyynti Oy 45429	Helminen		Helsinki	7851
Sokerisuuda Ky 45429	Helminen		Oulu	5552
Kukkasaari Ky 45429	Helminen		Helsinki	3605
Sandström AB 45429	Isotalo		Kuopio	7513,118018
Lahti Oy 45429	Isotalo		Turku	8258,852669
Sokerisuuda Ky 45430	Salmi		Oulu	3158
Sandström AB 45430	Isotalo		Tampere	4886
Sokerisuuda Ky 45430	Helminen		Oulu	236,6571062
Masamyynti Oy 45430	Uusitalo		Turku	6725,392777
Kihveli Oy 45431	Isotalo		Tampere	3070
Lahti Oy 45431	Helminen		Helsinki	4827
Lahti Oy 45431	Helminen		Turku	9751,549696
Diamond Oy 45431	Karjalainen		Kuopio	691,2893672
Diamond Oy 45432	Isotalo		Helsinki	3269
Sandström AB 45433	Isotalo		Tampere	4251,685935
Diamond Oy 45433	Helminen		Turku	5025,200424
Sandström AB 45433	Isotalo		Kuopio	5214,011857
Sokerisuuda Ky 45434	Isotalo		Tampere	6459
Sokerisuuda Ky 45434	Salmi		Helsinki	4477,483131
Uusitalo Oy 45434	Isotalo		Tampere	2904,477781
Sokerisuuda Ky 45434	Karjalainen		Kuopio	6016,452842
Kukkasaari Ky 45434	Salmi		Turku	2690,020472
Masamyynti Oy 45435	Salmi		Kuopio	5242
Lahti Oy 45435	Karjalainen		Kuopio	1615
Kihveli Oy 45435	Uusitalo		Oulu	2655,537708
Kihveli Oy 45435	Salmi		Turku	2728,317498
Kihveli Oy 45436	Karjalainen		Helsinki	5771,045255
Lahti Oy 45436	Uusitalo		Helsinki	2063,741305
Kukkasaari Ky 45437	Uusitalo		Oulu	8846,650184
Sokerisuuda Ky 45437	Karjalainen		Oulu	5251,258312
Kihveli Oy 45438	Helminen		Oulu	841
Kihveli Oy 45438	Isotalo		Oulu	6165,425839
Sokerisuuda Ky 45438	Uusitalo		Tampere	7061,346602
Diamond Oy 45439	Helminen		Oulu	4668
Diamond Oy 45439	Salmi		Turku	797,8835987
Masamyynti Oy 45439	Karjalainen		Helsinki	9074,494792
Masamyynti Oy 45440	Isotalo		Tampere	2255
Sandström AB 45440	Salmi		Tampere	9236
Lahti Oy 45440	Helminen		Kuopio	986,9188477
Kukkasaari Ky 45441	Uusitalo		Helsinki	9453,92
Kukkasaari Ky 45441	Karjalainen		Oulu	504,7963429
Masamyynti Oy 45441	Isotalo		Tampere	5896,191893
Uusitalo Oy 45441	Karjalainen		Kuopio	1270,75027
Lahti Oy 45441	Helminen		Turku	9038,689317
Masamyynti Oy 45442	Salmi		Oulu	2893
Kukkasaari Ky 45442	Salmi		Helsinki	1468,759568
Diamond Oy 45442	Salmi		Turku	6755,368957
Lahti Oy 45442	Isotalo		Kuopio	8657,118179
Masamyynti Oy 45443	Salmi		Tampere	2999
Sandström AB 45443	Uusitalo		Helsinki	6851,407881
Sokerisuuda Ky 45444	Karjalainen		Oulu	1206
Kukkasaari Ky 45444	Isotalo		Kuopio	3898
Kihveli Oy 45444	Salmi		Turku	1418,430375
Masamyynti Oy 45444	Helminen		Turku	5661,822031
Lahti Oy 45444	Karjalainen		Oulu	4948,293031
Lahti Oy 45445	Salmi		Helsinki	6528
Kukkasaari Ky 45445	Helminen		Helsinki	5235,768031
Diamond Oy 45445	Helminen		Tampere	8759,312898
Lahti Oy 45446	Helminen		Oulu	6993
Masamyynti Oy 45446	Karjalainen		Turku	3347,91752
Sokerisuuda Ky 45447	Uusitalo		Kuopio	317,0048
Lahti Oy 45447	Salmi		Kuopio	8945
Kukkasaari Ky 45447	Karjalainen		Tampere	4975
Kukkasaari Ky 45447	Salmi		Tampere	6258,581972
Kihveli Oy 45448	Helminen		Kuopio	2481,489283
Sandström AB 45448	Isotalo		Tampere	7653,080229
Sokerisuuda Ky 45448	Karjalainen		Turku	8843,663003
Sokerisuuda Ky 45449	Karjalainen		Tampere	2310,672692
Diamond Oy 45450	Helminen		Kuopio	4531
Sandström AB 45450	Salmi		Turku	9948,944321
Masamyynti Oy 45450	Karjalainen		Helsinki	6885,48277
Uusitalo Oy 45451	Helminen		Tampere	5122,88
Masamyynti Oy 45451	Karjalainen		Helsinki	278
Sandström AB 45452	Helminen		Helsinki	4629,612503
Masamyynti Oy 45452	Salmi		Helsinki	2650,360516
Sokerisuuda Ky 45453	Karjalainen		Kuopio	3829
